id	title	description	link	image_link	additional_image_link	availability	price	condition	brand	google_product_category	identifier_exists	shipping
DN-PENDANT-01	Ansh DecorateNow Gold Crystal Cylinder Pendant Light	Luxury handcrafted gold cylinder pendant light featuring precision-cut oval K9 crystal gems set in an intricate metallic lattice frame. Includes 1.2M adjustable suspension cord and brass canopy.	https://anshumanenterprises.online/decoratenow/product.html?id=DN-PENDANT-01	https://anshumanenterprises.online/images/products/ansh-decoratenow-gold-crystal-pendant-lamp-1.webp	https://anshumanenterprises.online/images/products/ansh-decoratenow-gold-crystal-pendant-lamp-2.webp,https://anshumanenterprises.online/images/products/ansh-decoratenow-gold-crystal-pendant-lamp-3.webp,https://anshumanenterprises.online/images/products/ansh-decoratenow-gold-crystal-pendant-lamp-4.webp,https://anshumanenterprises.online/images/products/ansh-decoratenow-gold-crystal-pendant-lamp-5.webp,https://anshumanenterprises.online/images/products/ansh-decoratenow-gold-crystal-pendant-lamp-6.webp,https://anshumanenterprises.online/images/products/ansh-decoratenow-gold-crystal-pendant-lamp-7.webp,https://anshumanenterprises.online/images/products/ansh-decoratenow-gold-crystal-pendant-lamp-8.webp,https://anshumanenterprises.online/images/products/ansh-decoratenow-gold-crystal-pendant-lamp-9.webp	in_stock	899.00 INR	new	DecorateNow	530	no	IN:Standard Delivery:0.00 INR
DN-WALL-03	Ansh DecorateNow Gold Crystal Wallchiere Lamp	Premium gold finish, optical crystal, adjustable cord, sturdy metal frame and warm LED bulb included.	https://anshumanenterprises.online/decoratenow/product.html?id=DN-WALL-03	https://anshumanenterprises.online/images/products/decoratenow-wallchiere-wall-lamp-with-bulb-1.webp	https://anshumanenterprises.online/images/products/decoratenow-wallchiere-wall-lamp-with-bulb-2.webp,https://anshumanenterprises.online/images/products/decoratenow-wallchiere-wall-lamp-with-bulb-3.webp,https://anshumanenterprises.online/images/products/decoratenow-wallchiere-wall-lamp-with-bulb-4.webp,https://anshumanenterprises.online/images/products/decoratenow-wallchiere-wall-lamp-with-bulb-5.webp,https://anshumanenterprises.online/images/products/decoratenow-wallchiere-wall-lamp-with-bulb-6.webp,https://anshumanenterprises.online/images/products/decoratenow-wallchiere-wall-lamp-with-bulb-7.webp,https://anshumanenterprises.online/images/products/decoratenow-wallchiere-wall-lamp-with-bulb-8.webp,https://anshumanenterprises.online/images/products/decoratenow-wallchiere-wall-lamp-with-bulb-9.webp	in_stock	699.00 INR	new	DecorateNow	536	no	IN:Standard Delivery:0.00 INR
DN-WALL-01	Ansh DecorateNow Aditya Wallchiere Lamp	Handcrafted metallic wallchiere fixture without bulb with soft warm wall wash.	https://anshumanenterprises.online/decoratenow/products.html#DN-WALL-01	https://anshumanenterprises.online/images/products/aditya-wallchiere-wall-lamp-without-bulb-1.webp		in_stock	499.00 INR	new	DecorateNow	536	no	IN:Standard Delivery:0.00 INR
DN-WALL-02	Ansh DecorateNow Brass Wallchiere Lamp	Modern antique brass sconce without bulb for living rooms and luxury hallways.	https://anshumanenterprises.online/decoratenow/products.html#DN-WALL-02	https://anshumanenterprises.online/images/products/ansh-wallchiere-wall-lamp-without-bulb.webp		in_stock	499.00 INR	new	DecorateNow	536	no	IN:Standard Delivery:0.00 INR
DN-WALL-04	Ansh DecorateNow Swing Arm Wall Light	Adjustable dual pivot arm lamp for reading desks and bedside illumination with bulb.	https://anshumanenterprises.online/decoratenow/products.html#DN-WALL-04	https://anshumanenterprises.online/images/products/swing-arm-wall-light-wall-lamp-with-bulb.webp		in_stock	499.00 INR	new	DecorateNow	536	no	IN:Standard Delivery:0.00 INR
DN-WALL-05	Ansh DecorateNow Luxury Wallchiere Lamp	High end sconce with crystal accents and warm diffused glow with bulb.	https://anshumanenterprises.online/decoratenow/products.html#DN-WALL-05	https://anshumanenterprises.online/images/products/wallchiere-wall-lamp-with-bulb.webp		in_stock	499.00 INR	new	DecorateNow	536	no	IN:Standard Delivery:0.00 INR
PROD-ORIENT-BATTEN-LIGHT-2-FEET-20W	ORIENT BATTEN LIGHT 2 FEET 20W	Premium 2-feet Orient LED Batten Light (20W) offering bright, glare-free, and energy-saving lighting for homes and offices.	https://anshumanenterprises.online/products.html#PROD-ORIENT-BATTEN-LIGHT-2-FEET-20W	https://anshumanenterprises.online/logo.webp		in_stock	126.00 INR	new	Orient Electric	524	no	IN:Standard Delivery:0.00 INR
PROD-ORIENT-BATTEN-LIGHT-4-FEET-20W	ORIENT BATTEN LIGHT 4 FEET 20W	Premium 4-feet Orient LED Batten Light (20W) providing optimal lumens and high energy savings for commercial layouts.	https://anshumanenterprises.online/products.html#PROD-ORIENT-BATTEN-LIGHT-4-FEET-20W	https://anshumanenterprises.online/logo.webp		in_stock	126.00 INR	new	Orient Electric	524	no	IN:Standard Delivery:0.00 INR
PROD-ORIENT-BATTEN-LIGHT-2-FEET-10W	ORIENT BATTEN LIGHT 2 FEET 10W	Compact 2-feet Orient LED Batten Light (10W), perfect for narrow spaces, corridors, and minor installations.	https://anshumanenterprises.online/products.html#PROD-ORIENT-BATTEN-LIGHT-2-FEET-10W	https://anshumanenterprises.online/logo.webp		in_stock	126.00 INR	new	Orient Electric	524	no	IN:Standard Delivery:0.00 INR
PROD-2-MODULAR-BOX	2 MODULAR BOX	Premium quality 2-module switchboard mounting metal box made of galvanized steel for rust resistance.	https://anshumanenterprises.online/products.html#PROD-2-MODULAR-BOX	https://anshumanenterprises.online/images/products/galvanized-iron-2-modular-switch-box.webp		in_stock	30.00 INR	new	Anshuman Enterprises	1938	no	IN:Standard Delivery:0.00 INR
