Product Name,Description,Price,Price Unit,Category,Image Filename
"ORIENT BATTEN LIGHT 2 FEET 20W","Premium 2-feet Orient LED Batten Light (20W) offering bright, glare-free, and energy-saving lighting for homes and offices.",126,Piece,lighting,orient-batten-light-2ft-20w.webp
"ORIENT BATTEN LIGHT 4 FEET 20W","Premium 4-feet Orient LED Batten Light (20W) providing optimal lumens and high energy savings for commercial layouts.",126,Piece,lighting,orient-batten-light-4ft-20w.webp
"ORIENT BATTEN LIGHT 2 FEET 10W","Compact 2-feet Orient LED Batten Light (10W), perfect for narrow spaces, corridors, and minor installations.",126,Piece,lighting,orient-batten-light-2ft-10w.webp
"2 MODULAR BOX","Premium quality 2-module switchboard mounting metal box made of galvanized steel for rust resistance.",30,Piece,switches,galvanized-iron-2-modular-switch-box.webp
"3 MODULAR BOX","Robust 3-module galvanized iron modular mounting box with standard threads for modular switch plates.",36,Piece,switches,galvanized-iron-3-modular-switch-box.jpg
"4 MODULAR BOX","Galvanized 4-module switch box, durable and corrosion-resistant for concealed wiring setups.",42,Piece,switches,galvanized-iron-4-modular-switch-box.webp
"6 MODULAR BOX","Galvanized steel 6-module mounting box, engineered for standard switches and power outlets.",60,Piece,switches,galvanized-iron-6-modular-switch-box.webp
"8 MODULAR BOX SQUARE","Square 8-module metal switchboard box, optimized space utilization for complex modular grids.",72,Piece,switches,8-modular-box-square.webp
"8 MODULAR BOX","Standard rectangular 8-module galvanized switch box for heavy home appliances and multiple points.",60,Piece,switches,galvanized-iron-8-modular-rectangular-switch-box.jpg
"12 MODULAR BOX","Spacious 12-module galvanized modular switchboard box for complete room control and panel distribution.",84,Piece,switches,galvanized-iron-12-modular-switch-box.webp
"INDEANA PIPE HEAVY 25MM","Heavy-duty 25mm PVC conduit pipe by Indeana. High impact-resistant and fire-retardant wiring protection.",2016,Bundle,conduit,indeana-pipe-heavy-25mm.webp
"INDEANA PIPE 20MM MEDIUM","Medium-duty 20mm PVC conduit pipe by Indeana, flexible and robust for concealed ceiling and wall installations.",1920,Bundle,conduit,indeana-medium-duty-pvc-conduit-pipe-20mm.jpg
"INDEANA PIPE 25MM MEDIUM","Medium-duty 25mm PVC conduit pipe by Indeana, ideal for standard cable distribution and layouts.",1704,Bundle,conduit,indeana-pipe-25mm-medium.webp
"INDEANA BAND 25MM","Robust 25mm PVC bend/band by Indeana, designed for smooth pulling of wires without damage at corners.",156,Packet,conduit,indeana-pvc-conduit-bend-band-25mm.jpg
"INDEANA BAND 20MM MEDIUM","Medium-duty 20mm PVC bend for connecting wall conduits seamlessly at right angles.",216,Packet,conduit,indeana-medium-pvc-conduit-bend-band-20mm.jpg
"INDEANA BAND 25MM HEAVY","Heavy-duty 25mm PVC conduit bend, offering high physical impact tolerance for floor and structural bends.",240,Packet,conduit,indeana-band-25mm-heavy.webp
"FAN BOX HEAVY","Heavy-duty ceiling fan mounting junction box, designed to bear high load and structural vibrations.",96,Piece,conduit,fan-box-heavy.webp
"CONCIELD BOX HEAVY","Heavy-duty concealed ceiling junction box for neat wiring connections and profile lights.",42,Piece,conduit,concealed-ceiling-junction-box-heavy-duty.jpg
"FAN BOX MEDIUM","Standard medium-duty fan junction box for residential housing projects.",78,Piece,conduit,fan-box-medium.webp
"CONCIELD MEDIUM","Concealed medium-duty wall junction box, flame-retardant and durable.",36,Piece,conduit,concealed-ceiling-junction-box-medium-duty-180g.jpg
"FLEXIBLE PIPE 20MM","Corrugated 20mm PVC flexible pipe, perfect for linking main conduits to switch boards around pillars.",94,Piece,conduit,pvc-flexible-corrugated-conduit-pipe-20mm.jpg
"FAN ROD 12 INCH","Heavy iron ceiling fan downrod (12 inches) with rust-resistant paint and secure key bolt slots.",22,Piece,conduit,ceiling-fan-downrod-iron-12-inch.webp
"TEE COVER","Standard PVC Tee cover for securing T-junction connections of surface wiring casing/pipes.",3,Piece,conduit,pvc-conduit-tee-connection-cover.jpg
"FAN COVER","High-quality replacement canopy/cover set for ceiling fans, white glossy finish.",12,Piece,conduit,fan-cover.webp
"SCREW .75 INCH","Standard 0.75-inch premium threaded metal screws for switchboards and general hardware fittings.",240,Box,hardware,screw-0-75-inch.webp
"SCREW 1 INCH","Threaded 1-inch metal screws, durable and rust-resistant for secure electrical hardware mounting.",264,Box,hardware,premium-threaded-mounting-screws-1-inch.png
"SCREW 1.5 INCH","Heavy-duty 1.5-inch mounting screws for conduits, junction boxes, and frame clamping.",240,Box,hardware,screw-1-5-inch.webp
"SCREW 2 INCH","High-tensile 2-inch screws, perfect for deep wall plug anchorage and heavy fixtures.",264,Box,hardware,premium-threaded-mounting-screws-2-inch.webp
"SCREW 2.5 INCH","Premium 2.5-inch structural screws for ceiling box fittings and secure heavy clamping.",300,Box,hardware,screw-2-5-inch.webp
"SCREW 3 INCH","Extra-long 3-inch steel mounting screws for deep concrete plug anchoring and brackets.",336,Box,hardware,screw-3-inch.webp
"PVC SADDLE","High-grade PVC conduit pipe clamp/saddle for rigid surface routing and ceiling clipping.",180,Packet,hardware,pvc-saddle.webp
"STEELGRIP INSULATION TAPE","Premium Steelgrip self-adhesive PVC insulation tape, high dielectric strength and heat resistant.",324,Box,hardware,steelgrip-insulation-tape.webp
"THERMOCOL","Premium grade thermocol sheets/blocks for shockproofing and packaging utility.",72,Piece,hardware,thermocol.webp
"socket","Standard electrical modular switch/socket fitting.",7,Piece,hardware,socket.webp
"Fan box light 500G","Standard fan junction light box 500g capacity.",72,Piece,hardware,fan-box-light-500g.webp
"MASKING TAPE","High-adhesion masking tape for site painting protection and structural marking.",24,Piece,hardware,high-adhesion-masking-tape.webp
"SELF DRILLING SCREW 1 INCH","High-efficiency 1-inch self-drilling screws for metal casing and GI pipe frames.",1.5,Piece,hardware,self-drilling-screw-1-inch.webp
"SELF DRILLING SCREW 1.5 INCH","Self-drilling 1.5-inch metal screws, drills and fastens in a single action.",360,Box,hardware,self-drilling-screw-1-5-inch.webp
"SELF DRILLING SCREW 2 INCH","Heavy-duty 2-inch self-drilling metal screws for thick sheets and frames.",360,Box,hardware,self-drilling-metal-screws-2-inch.jpg
"HEATEX 5 KG","High-grade Heatex adhesive / seal bond compound (5 Kg bucket) for construction joints.",2820,Piece,hardware,heatex-adhesive-seal-bond-compound-5kg.jpg
"KEEL 1*14 SPN","Standard 1x14 concrete nails / keels for fast ceiling and wall anchoring.",114,Kg,hardware,concrete-nails-keel-1-inch-14-spn.jpg
"KEEL 1.5*14 SPN","High-strength 1.5x14 concrete nails for conduit clips and wiring casing anchoring.",114,Kg,hardware,concrete-nails-keel-1-5-inch-14-spn.jpg
"KEEL 2*14 SPN","Standard 2x14 concrete nails / keels for structural concrete fittings.",114,Kg,hardware,concrete-nails-keel-2-inch-14-spn.jpg
